,asuult,angilal,on
,Аль нь дунд долгион бэ,Сэргээн санах,1
,Радио долгионыг тархах онцлогоор нь хэд ангилдаг вэ? ,Сэргээн санах,1
,Хүлээн авах антенны ашигтай хөндлөн огтлолын талбай түүний чиглэлийн     коэффициент хоёрын хамаарал аль нь вэ?,Сэргээн санах,1
,Хүлээн авах антенны ашигтай хөндлөн огтлолын талбай түүний чиглэлийн     коэффициент хоёрын хамаарал аль нь вэ?,Сэргээн санах,1
,Радио долгион тархах явцад түүний энергийн ихэнх хэсэг нь тархаж буй мужийг ....................... гэнэ. ,Сэргээн санах,1
,Тропосферийн реферакцийг тооцох хялбарчилсан аргыг хэдэн онд нээсэн бэ? ,Сэргээн санах,1
,Нейтросферийг зөв тодорхойлсныг ол? ,Сэргээн санах,1
, Хасах ион гэдэг нь ................................................... байна. ,Сэргээн санах,1
,Ионжих процессыг ................................. үүсгэдэг.  ,Сэргээн санах,1
,Ионосферт богино долгион тархах үед үүсэх энергийн шингээлтийг тооцоход ордог “ ”  хэмжигдэхүүний томъёог ол.  ,Сэргээн санах,1
, Дэлхийн бөмбөрцгийн богино долгион нэг удаа тойрсон тохиолдолд үндсэн долгионоос хожигдох хугацаа ямар байдаг вэ?  ,Сэргээн санах,1
,Богино долгионы цараанд ажлын оновчтой давтамжийг ............ гэнэ ,Сэргээн санах,1
,Критик давтамжийг зөв тодорхойлсныг ол?,Сэргээн санах,1
,Хэт богино долгионы шууд харалтын зайг тодорхойлсон томъёо аль нь вэ?  ,Сэргээн санах,1
,"Антенн, хүлээн авагч хоёрыг холбогч шугамыг ................ гэнэ.  ",Сэргээн санах,1
,Өндөр хурдтай тоон мэдээллийг алс зайд дамжуулахад ашигладаг давтамж аль вэ? ,Сэргээн санах,1
,Радио цонхонд ямар зурвасууд орох вэ? ,Сэргээн санах,1
,Аль нь завсрын давтамжтай дохиог радио давтамжтай дохионд хувиргадаг вэ ? ,Сэргээн санах,1
, Дохиог антенн руу хамгийн бага алдагдалтайгаар дамжуулах үүрэгтэй төхөөрөмж аль вэ? ,Сэргээн санах,1
,Динамик диапазон гэж юу вэ?,Сэргээн санах,1
,Аль модуляцийг радио релейний системд хэрэглэх боломжгүй вэ? ,Сэргээн санах,1
,Бага шуугианы өсгүүр үндсэн хэдэн төрөлтэй байдаг вэ ? ,Сэргээн санах,1
, Хэдэн он хүртэл аналоги дохиог тоон дохионд хувиргах хамгийн оновчтой арга гараагүй байсан бэ?,Сэргээн санах,1
, .................. нь радио ба хяналтын хэсэгтэй. ,Сэргээн санах,1
,Монгол улс дэлхийн цахилгаан холбооны байгууллагаас гаргасан радио давтамжийн цар ашиглалтын хэддүгээр бүсэд ордог вэ?,Сэргээн санах,1
,Аль нь үл хөдлөх тойрог зам бэ? ,Сэргээн санах,1
,Радио цонх хэдээс хэдэн герцийн давтамжийн хооронд үүсдэг вэ? ,Сэргээн санах,1
,Тоон системд дохионы чанарыг юугаар илэрхийлдэг вэ ? ,Сэргээн санах,1
,Энэ системд цайлтын  ба өнгө ялгаврын дохиог хугацаагаар нягтруулж дамжуулдаг бол доорхоос аль нь вэ?,Сэргээн санах,1
,Сүүлийн жилүүдэд ямар технологитой систем түргэн хөгжиж байгаа вэ?,Сэргээн санах,1
,Цахилгаан соронзон долгион цацаргах зорилгоор 1 шугаман дээр байрласан ижилхэн урттай 2 дамжуулагчийг …….. гэнэ.,Сэргээн санах,1
, Долгионы хүлээн авч байгаа цэгт цахилгаан ба соронзон орны хүчлэг векторын утга өөрчлөгддөг. Энэ үзэгдлийг ……. гэнэ.,Сэргээн санах,1
,"Чиглүүлэн цацаргах чадвар сайтай, хажуугийн цацаргалтын хэмжээ аль болох бага, чиглэл нь 50-90° хооронд байхаар төсөөлж хийсэн антенныг …… антенн гэнэ.",Сэргээн санах,1
,Цахилгаан соронзон долгионы энергийг генератороос хөтлүүрт шилжүүлэх процессыг ...... гэнэ.,Сэргээн санах,1
,Антеннд нэмэлт тохиргоо хийхгүйгээр fmin-ээс fmax хүртэл ажиллаж байна гэвэл fmax/fmin-г ажлын диапазоны харьцангуй өргөн гэнэ. Үүнийг яаж тэмдэглэдэг вэ? ,Сэргээн санах,1
,"Хөндлөн металл хоолойгоор цахилгаан соронзон долгион дамжуулах онолыг хэн, хэдэн онд боловсруулсан бэ? ",Сэргээн санах,1
,. Федингийн үзэгдэл ямар нөлөөтэй вэ?,Сэргээн санах,1
,Урт дунд долгионы цараанд антенны өндрийг яаж сонговол хамгийн тохиромжтой вэ? ,Сэргээн санах,1
,Толин антенн хэдэн хэсгээс тогтох вэ? ,Сэргээн санах,1
,Синфазтай антенны ашигтай талбайг ямар томъёогоор олох вэ?,Сэргээн санах,1
,Долгион хөтлүүрийн хөндлөн долгионы тоог ямар томъёогоор олдог вэ? ,Сэргээн санах,1
,Долгион хөтлүүрийг хийцээр нь хэд ангилдаг вэ? ,Сэргээн санах,1
,Дифракцийн антенны зөв ангиллыг ол. ,Сэргээн санах,1
,Тэгш хэмт вибраторын үйлчлэгч өндрийг ямар томъёогоор олох вэ? ,Сэргээн санах,1
,Тэгш хэмгүй вибраторын оролтын эсэргүүцлийг ямар томъёогоор олох вэ? ,Сэргээн санах,1
,Тэгш хэмт вибраторын чиглүүлгийн коэффицентийг ямар томъёогоор олох вэ? ,Сэргээн санах,1
,Тэгш хэмт вибраторын цацаргалтын эсэргүүцлийг ямар томъёогоор олох вэ? ,Сэргээн санах,1
,Логарифмаар үелсэн антенны төсжлийн коэффицентийг ямар томъёогоор олох вэ?,Сэргээн санах,1
,Гадны өрнүүлэлттэй генератор нь юу юунаас бүрдэх вэ?,хэрэглэх,3
,Радио хүлээн авагчийн үндсэн функцууд,хэрэглэх,3
,"Супергитеродины хүлээн авагчийн блок диаграммыг зурж, блок болгоны функцуудыг тайлбарла. ",хэрэглэх,3
,"Радио хүлээн авагчийн блок диаграммыг зурж, тайлбарла. ",хэрэглэх,3
,"Радио хүлээн авагчийн төрлүүд, тэдгээрийн ялгаа, үүрэг, зориулалт, хэрэглээ. ",хэрэглэх,3
,Давтамж холигч болон транзистор ашигласан тулгуур генераторын хэлхээг зурж ажиллагааг тайлбарла.,хэрэглэх,3
,FM хүлээн авагчийн блок диаграммыг зурж ажиллагааг тайлбарла.,хэрэглэх,3
,Радио хүлээн авагчийн үндсэн характеристик ,хэрэглэх,3
,. Завсрын давтамжийн өсгөгчийн хэлхээг зурж ажиллагааг тайлбарла,хэрэглэх,3
,Гитеродинэн хүлээн авагчийн онолын үндэс. ,хэрэглэх,3
,"Супергитеродины хүлээн авагч гэж ямар хүлээн авагчийг нэрлэх бэ?, түүний давуу талууд. ",хэрэглэх,3
,Хайлтын алдаа гэж юу бэ?,хэрэглэх,3
,Газрын тоон телевизийн өргөн нэвтрүүлгийн хүлээн авагчийн ажиллагааг тайлбарла.,хэрэглэх,3
,Гитеродинэн хүлээн авагчийн онолын үндэс,хэрэглэх,3
,"Супергитеродины хүлээн авагч гэж ямар хүлээн авагчийг нэрлэх бэ?, түүний давуу талууд. ",хэрэглэх,3
,Хайлтын алдаа гэж юу бэ,хэрэглэх,3
,Газрын тоон телевизийн өргөн нэвтрүүлгийн хүлээн авагчийн ажиллагааг тайлбарла. ,хэрэглэх,3
,Давтамж хувиргалт гэж юу вэ? /нэг шатны/ ,хэрэглэх,3
,Завсрын давтамжийн сонголтонд нөлөөлөх нөхцөлүүд. ,хэрэглэх,3
,Хиймэл дагуулын тоон хүлээн авагчийн ажиллагааг тайлбарла. /TV/ ,хэрэглэх,3
,Давтамж хувиргалт гэж юу вэ? / хоёр шатны/,хэрэглэх,3
,Ямар зорилгоор зэргэлдээ сувгийг сонгодог вэ?,хэрэглэх,3
,Зөөлттэй хүлээн авалт гэж юу вэ? /Төрлүүд/ ,хэрэглэх,3
,Давтамжийн автомат тохируулга /Фазаар/,хэрэглэх,3
,Шугаман диодон детекторын схемийг зурж ажиллагааг тайлбарла.,хэрэглэх,3
,Инфрадинэн хүлээн авагчийн давуу талууд,хэрэглэх,3
,Өсгөлтийн автомат тохируулга /Давтамжаар/,хэрэглэх,3
,Энгийн өсгөлтийн автомат тохируулагч болон саатуулагдсан өсгөлтийн автомат тохируулагчийн ялгаа.,хэрэглэх,3
, Инфрадинэн хүлээн авагчийн сул талууд ,хэрэглэх,3
,Энгийн диодон детекторын схемийг зурж ажиллагааг тайлбарла. ,хэрэглэх,3
, Радио хүлээн авагчийн мэдрэмж ,хэрэглэх,3
,"Супергитеродинэн хүлээн авагч гэж ямар хүлээн авагчийг нэрлэх бэ?, түүний давуу талууд. ",хэрэглэх,3
,Радио хүлээн авагчийн сонгох чадвар,хэрэглэх,3
,SSB демодуляторын оролтын холболтын хэлхээг тайлбарла.,хэрэглэх,3
,Саатагдах өсгөлтийн автомат тохируулга гэж юу бэ? ,хэрэглэх,3
,Хүлээн авагчийн оролтын хэлхээнүүд,хэрэглэх,3
,АМ хүлээн авагчийн давтамжийн параметрүүдийг бич. ,хэрэглэх,3
,Супергитеродинэн хүлээн авагчийн S/N сайжруулахад RF өсгөгчийг хэрхэн ашигладаг бэ?,хэрэглэх,3
,Завсрын давтамжийн өсгүүрийн ажиллагааг тайлбарла ,хэрэглэх,3
,RF өсгөгчийн давуу талуудыг бич. ,хэрэглэх,3
,Завсрын давтамжийн сонголтонд нөлөөлөх нөхцөлүүд.,хэрэглэх,3
,Хүлээн авагчийн тохируулгын хэсэгт юу хамаарагдах бэ?,хэрэглэх,3
,Супергитеродины хүлээн авагчийн завсрын давтамжийн тогтворжилт ямар бэ? Тайлбарла. ,хэрэглэх,3
,Энгийн өсгөлтийн автомат тохируулагч болон саатуулагдсан өсгөлтийн автомат тохируулагчийн ялгаа,хэрэглэх,3
,"Радио өргөн нэвтрүүлгийн хүлээн авагчийн онцлог, ялгаанууд ",хэрэглэх,3
,Радио хүлээн авагчийн завсрын давтамжийн сонголтонд нөлөөлөх нөхцөлүүдийг жагсааж бич.,хэрэглэх,3
,Газрын тоон телевизийн өргөн нэвтрүүлгийн хүлээн авагчийн ажиллагааг тайлбарла. ,хэрэглэх,3
,"Агуургын модуляцтай дууны өргөн нэвтрүүлгийн хүлээн авагчийн бүтцийн схем зурж, тайлбарла. ",хэрэглэх,3
,Супергитеродинэн хүлээн авагчийн S/N сайжруулахад RF өсгөгчийг хэрхэн ашигладаг бэ?,хэрэглэх,3
, Завсрын давтамжийн өсгөгчийн хэлхээг зурж ажиллагааг тайлбарла.,хэрэглэх,3
,"Агуургын модуляцтай дууны өргөн нэвтрүүлгийн хүлээн авагчийн бүтцийн схем зурж, тайлбарла. ",хэрэглэх,3
,Супергитеродинэн хүлээн авагчийн S/N сайжруулахад RF өсгөгчийг хэрхэн ашигладаг бэ?,хэрэглэх,3
,Завсрын давтамжийн өсгөгчийн хэлхээг зурж ажиллагааг тайлбарла. ,хэрэглэх,3
,Хэдэн хиймэл дагуулаар дэлхийг бүрхсэн бүрхэлт бий болгож болох вэ?,хэрэглэх,3
,40МГц-ийн өргөнтэй транспондерийн идэвхитэй ашиглагдах хэсэг нь ........ байна.,хэрэглэх,3
,Шуугианы коэффициент 1.5 дБ бол LNA өсгүүрийн шуугианы температур хэд байх вэ.,хэрэглэх,3
,Сансрын системд ажлын давтамж ихсэх тусам борооноос үүсэх унтралт.........,хэрэглэх,3
,Холбооны хиймэл дагуулын системийн хамгийн гол 2 параметр нь......... юм.,хэрэглэх,3
,"Зөөгчийн битийн хурд 100Кб/с, FEC ½, Roll-off коэффициент 1.0 үед QPSK модуляцитай системд  зурвасын өргөн хэд байх вэ?",хэрэглэх,3
,DTH системд ямар давтамжийн зурвас ашигллагддаг вэ?  ,хэрэглэх,3
,Roll-off коэффициент 0.25 үед 36МГц-ийн транспондер дээр багтах тэмдэгтийн хурд хэд байх вэ?,хэрэглэх,3
,"LEO тойрог замын дагуул, GEO тойрог замын дагуулын ашиглалтын  хугацаа........ байна. ",хэрэглэх,3
,100 Вт чадалтай дохиог 3 дБ-ээр бууруулахад...... болно.,хэрэглэх,3
,Тухайн хиймэл дагуултай холбогдож байгаа газрын станцуудад нар хиртэлт......... тохиолдоно.,хэрэглэх,3
,Чөлөөт орчны унтралт нь ......... шууд хамааралтай байна. ,хэрэглэх,3
,10Вт чадалтай зөөгчийг 1:2 чадал хуваагчаар дайруулан гаргасан бол гаралтын порт бүр дээр хэдэн дБм дохио гарах вэ,хэрэглэх,3
,"Eb/No=5.5 дБ, битийн хурд 200Кб/с үед C/No харьцаа хэд байх вэ?",хэрэглэх,3
,Тэгш бус хэмт(offset) антенныг ВиСАТ гэх мэт бага оврын системүүдэд дараах давуу талыг нь харгалзан өргөн ашигладаг,хэрэглэх,3
, Нэг зурваст ажиллаж байгаа системийн хувьд хиймэл дагуулын транспондер дээрх давтамжийн хувиргалт нь .........,хэрэглэх,3
, Эллипс тойрог замын хувьд хиймэл дагуулын хурд “perigee” цэгт.........байна.,хэрэглэх,3
,Антенны шаталсан тохируулгын системд тохируулгын цикл тэнхлэг бүрийн чиглэлд.... удаа хийгдэх ба тохируулгын алдагдал .... дБ-ээс хэтрэхгүй. ,хэрэглэх,3
,TWT өсгүүрийн гаралтын нөөц түвшин нь.......... хамаарлаар тодорхойлогдоно.,хэрэглэх,3
,Борооны унтралт ба бороон дуслын диаметр хооронд ойролцоогоор дараах хамаарал байна.,хэрэглэх,3
,2 үсрэлттэй сансрын трасст тойрог замын алслалт 30000км үед дохионы саатах хугацаа........миллисекунд байна.,хэрэглэх,3
,Ku зурваст ажиллах нэвтрүүлэх станцын парабол антенны HPBW=0.10  бол антенны диаметр хэд байх вэ?,хэрэглэх,3
,"Газрын станцын нэвтрүүлэх антенны өсгөлт 55 дБ, HPA өсгүүрийн гаралтын чадал 500 Вт, долгион хөтлүүрийн алдагдал 2 дБ бол EIRP хэд байх вэ ?",хэрэглэх,3
,"E 50 max  , mB E 10 min  бол XPD хэд байх вэ?  A",хэрэглэх,3
,К3 стандартын газрын станцын G/T харьцаа  23.3 дБ/К системийн шуугианы температур 200 К үед антенны өсгөлт хэд байх вэ?,хэрэглэх,3
, Зарим элементийн атом молекул их энергитэй төлвөөс бага энергитэй төлөвт шилжихдээ энергийг гэрлийн квант хэлбэрээр  цацдаг бөгөөд илүүдэл энерги нь гэрэлтэж харагдах үзэгдэл  ,хэрэглэх,3
,Люминифорын үргэлжлэн гэрэлтэх хугацаа,хэрэглэх,3
,ТВ-ийн дохионд ашиглах модуляцийн төрөл,хэрэглэх,3
,Анивчих давтамж нь юунд хамаарах вэ? ,Сэргээн санах,1
,ТВ-ийн өргөн нэвтрүүлэгт VHF-UHF давтамжийн цард дохиог хүлээн авах шууд харалтын зай,Сэргээн санах,1
,Фотоэлектроны инерци юунаас үүсэх вэ? ,Сэргээн санах,1
,Телевизийн дохионы спектр  ,Сэргээн санах,1
,"PALD системийн хувьд нэг кадр дахь мөрийн тоо, нэг сек-д дамжих кадрын тоо",Сэргээн санах,1
, Дүрсийг цахилгаан дохионд хувиргахад ашигладаг гадаргуу,Сэргээн санах,1
,Дэлгэцийн цайлт юунаас хамаарах вэ?,Сэргээн санах,1
,"Гурван прожектор нэг хэвтээ хавтгай дээр байрлах бөгөөд ногооны прожектор нь кинескопын тэнхлэг дээр, нөгөө хоёрын прожекторууд кинескопын тэнхлэгт 1о өнцгөөр налсан байрлалтай кинескоп",Сэргээн санах,1
, Хатуу биет хувиргуурын хувьд улаан өнгийн хэсгийг хувиргахын тулд i давхаргыг ямар  элементээр баяжуулдаг вэ?,Сэргээн санах,1
,Цэнэгийн шилжилттэй хэрэгсэл дээрх потенциалын нүхний гүн нь ......... хамаарна ,Сэргээн санах,1
,Телевизийн дүрсийн дохио ямар үед хамгийн өндөр давтамж үүсгэх вэ? ,Сэргээн санах,1
,Фотокатодын сигналын ялтасанд ойролцоогоор хэдэн Вольтын хүчдэл өгдөг вэ? ,Сэргээн санах,1
, Дүрсийн элементийг тодорхойлох параметр ,Сэргээн санах,1
,Электрон цацрагийн хөндлөн огтлолын талбай хамгийн бага байх цэг ,Сэргээн санах,1
,Өнгөт телевизийн хувьд дүрсийн элементийн мэдээллийг дамжуулахдаа ямар функцээр илэрхийлэгдэх цахилгаан дохиог дамжуулдаг вэ? ,Сэргээн санах,1
,Оптик дүрс ,ойлгох,2
,Гэрлийн долгионы аль хэсэгт хувиргалт хийхийг авч үзнэ ,ойлгох,2
,"Үндсэн 3 өнгийн люминифор нэг гадаргуу дээр үрэл, босоо зурвас, зураас байдлаар түрхэгдсэн люминифор",ойлгох,2
, Дүрс яаж үүсдэг вэ?,ойлгох,2
,Плюмбиконы гол давуу тал,ойлгох,2
,Телевизэд хэрэглэдэх физик процессууд ,ойлгох,2
,Телевизийн дохионы агшин зуурын утга бүрийг гэрлийн импульст хувиргах люменофорон дэлгэц бүхий электрон цацрагт хоолой ,ойлгох,2
,Фотомишений элементар хэсгүүдийг юугаар төлөөлүүлэн үзэж болох вэ?,ойлгох,2
,Өнгөт ТВ-ийн системд ашиглах өнгийн онол ,ойлгох,2
, Гурван растрын хэлбэрийн ялгаанаас болж үүсэх өнгийн гажуудлыг засах мөн гурван  цацрагийг маскны нэг нүхээр гаргахын тулд  ,ойлгох,2
, Ялгах зай гэж юу вэ? ,Сэргээн санах,1
,Инерцэт чанар ,ойлгох,2
,Нэг секундэд дамжуулах элементийн тоо нь юунаас хамаарах вэ? ,ойлгох,2
,Мөрийн идэвхитэй хэсгийн үргэлжлэх хугацаа хэд байх вэ?,ойлгох,2
, Дүрсийн тодрол,ойлгох,2
,Видиконы дутагдалтай тал,ойлгох,2
,Мөрийн давтамжийн гармоникуудын хоорондох сул зайнуудыг юунд ашигладаг вэ?,ойлгох,2
,Доорх зурагт үзүүлснээр дүрсийн болон объектийн цайлт хамаарал нь <1 үед,ойлгох,2
,Электрон прожектор,Сэргээн санах,1
,Телевизийн дохионы спектрийг нарийн болгохдоо ямар аргыг ашиглах вэ,ойлгох,2
, Делта кинескопын маскны нүхний тоо  ,ойлгох,2
,HDTV ТВ-ийн хувьд дүрсийг үзэх оновчтой зай ,ойлгох,2
,ТВ-ийн дэлгэцийн өндрийн хэмжээ нь 45см бол дүрсийг үзэх оновчтой зай,ойлгох,2
,PAL системийн хувьд 500000 kN бол 1 сек-д дамжих элементийн тоо,ойлгох,2
,ТВ-д геометрын төсөөг хангахын тулд ямар шаардлага тавих вэ?,Сэргээн санах,1
,Телевизийн дүрсийн масштабын параметрт юу юу орох вэ?,Сэргээн санах,1
,Матрицан хувиргуур нь:  ,Сэргээн санах,1
,625/50 системийн хувьд мөр алгассан дамжууллын үед мөрийн давтамж хэд байх вэ?,ойлгох,2
,Мөрийн давтамж нь 15750Гц үед мөрийн нийт үргэлжлэх хугацаа хэд байх вэ?,Сэргээн санах,1
,f=60КГц; fm=15КГц үед сувгийн зурвасын өргөнийг ол.,Сэргээн санах,1
, ТВ-ийн бүрэн дохионы бүтцийг зурж тайлбарла. (харгалзах параметрүүдийг бичих),Сэргээн санах,1
,Хар цагаан ТВ-ийн кинескопын ерөнхий бүтцийг зурж зарчмыг тайлбарлана уу! ,Сэргээн санах,1
,x 0 101 )( 0 тасралтгүй дохионы нөхцлийг хангах илэрхийллийн хувьд x(-t-1) дохиог зурна уу.,хэрэглэх,3
,"200 1000 6000mW чадлыг dBm, dBW, W нэгж рүү шилжүүлнэ үү.",Сэргээн санах,1
,Дараах комплекс илэрхийллүүдийг хэрэгжүүлнэ үү,Сэргээн санах,1
, Лапласын хувиргалтын үндсэн илэрхийллийг сонгоно уу. ,Сэргээн санах,1
,Damping коэффциентийн утга дохионы ямар шинж чанарыг илэрхийлдэг вэ? ,Сэргээн санах,1
,Дараах 2 дохионы графикаас тэгш хэмтэй дохионы графикийг сонгоно уу.,Сэргээн санах,1
,x(t) аналог дохио нь тэгш үед ,Сэргээн санах,1
,Эйлерийн адилтгалын үндсэн илэрхийллийг сонгоно уу.,Сэргээн санах,1
, jerz * комплекс утга нь ямар координатын систем дээр зурагдах вэ?,Сэргээн санах,1
, js  комплекс утгын сигма нь ямар параметрийг илэрхийлэх вэ? ,Сэргээн санах,1
,Тасралтгүй дохио нь ......................... утгаар тодорхойлогддог,Сэргээн санах,1
,. Хэрэв дохио нь хугацааны нэгж агшинд хурдан өөрчлөгдөж чадахгүй бол хязгаар нь Ts-ийн ........... утганд уламжлалыг ойролцоогоор тооцож гаргадаг Гэвч хэрэв дохио нь хурдан өөрчлөгдөнө гэж үзвэл Ts ийн ................ утга шаардлагатай. ,Сэргээн санах,1
,Тасралтгүй дохио x(t)-ийн дифференциал тэгшитгэлийг сонгоно уу,Сэргээн санах,1
,Төгсгөлөг биш анализийн үндсэн шинж чанарт хамааралгүй хэсгийг олно уу.,Сэргээн санах,1
,......................... нь хугацааны дискрет утгууд дээр тодорхойлогддог. ,Сэргээн санах,1
,256=28 түвшиний квантлал хийгдэж байвал  ............ битийн  урттай хоёртын кодоор квантлалын түвшнийг илэрхийлнэ үү.,Сэргээн санах,1
,Тасалдалтын агуургийн санамсаргүй утгуудыг төгсгөлөг утга бүхий хүчдлийн түвшинд шилжүүлэн  солихыг .......................................гэнэ.,Сэргээн санах,1
,Модуляцлагч тасралтгүй дохионы агуургийн өөрчлөлтийн хуулийг “0” ба “1”ийн  тоон цуваа болгон хувиргах модуляцийг .............................................гэнэ,Сэргээн санах,1
,. ...............................үүрэг нь хүлээн авах талд ирсэн бага зэргийн гажуудалтай дохиог шуугианаас нь салгаж өндөр давтамжийн цахилгаан дохио болгон сэргээнэ,Сэргээн санах,1
,Дараах нөхцлүүдийг зөв харгалзуулна уу.,Сэргээн санах,1
,][ n jnx   дохионы бүрэлдэхүүн хэсгүүдийг нөхөж бичнэ үү. ,Сэргээн санах,1
,Аналог дохионы тасалдалтын квантлагдсан утгыг хоёртын кодоор илэрхийлэхийг....................... гэнэ. ,Сэргээн санах,1
,Дохионы ямар төрөл нь синусойдын нийлбэрүүдийг үзүүлж чадах вэ? ,Сэргээн санах,1
, Холбооны сувгаар мэдээ буюу дохиог дамжуулах явцад хэрэглэгч ба нэвтрүүлэх антенны хоорондын зайнаас хамааран дохионд үүсэх өөрчлөлтийг юу гэж нэрлэх вэ?,Сэргээн санах,1
,Холбооны сувгаар мэдээ буюу дохиог дамжуулах явцад зэргэлдээ байгаа дурын хэрэглэгчдийн дохионы нөлөөллөөс үүсэх гадны нөлөөллийг юу гэж нэрлэх вэ? ,Сэргээн санах,1
,Телефон утас нь ямар дамжууллын орчинтой вэ? ,Сэргээн санах,1
,"...................үүрэг нь хувиргагдсан цахилгаан дохиог давтамжаар нь хязгаарлаж, өсгөөд, модуляц хийж холбооны сувагт дамжуулдаг. ",Сэргээн санах,1
,Дараах 2 дохионы аль нь тасралтгүй дохио болохыг тодорхойлно уу.,Сэргээн санах,1
,Мэдээлэл дамжуулах хамгийн энгийн буюу .......................... бол хэл яриа юм.,Сэргээн санах,1
,Мэдээллийг дамжуулах/солилцоход оролцдог бүрэлдэхүүн хэсгүүд буюу дэд системүүдийг хамтад нь гэж нэрлэнэ. ,Сэргээн санах,1
,"Мэдээллийн үүсгүүрээс мэдээллийг хүлээн авагч хүртэл дамжуулахын тулд мэдээлэл нь хувиргагдах, хадгалагдах, боловсруулагдах боломжтой хэлбэрт орох шаардлагатай болдог. Тиймээс мэдээллийг дамжуулахад ашиглагдах янз бүрийн тэмдэгтээр илэрхийлэгдсэн хэлбэрийг нь  .................... гэнэ. ",Сэргээн санах,1
,"Тодорхой орон зай, цаг хугацаан дахь эд юмс, объект, үзэгдэл, үйл явдал, процессын тухай илэрхийлэмжийг ....................... гэнэ.",Сэргээн санах,1
,Дууны дохионы энергийг цахилгаан дохионы энерги рүү хувиргадаг төхөөрөмж аль нь вэ? ,Сэргээн санах,1
,Хэмжигдэхүүний нарийвчлалын зэргийг алдааны ямар хэмжигдэхүүнээр тодорхойлох нь оновчтой вэ? ,Сэргээн санах,1
, Чадлыг гүйдэл хүчдэлээр ямар тохиолдолд хэмжиж болох вэ? ,Сэргээн санах,1
,Вольтметрийн чанарыг тодорхойлдог ямар параметр байх вэ? ,Сэргээн санах,1
,Тоон аналог хувиргуурын гаралтанд ямар хэмжигдэхүүн тодорхойлогдох вэ?,Сэргээн санах,1
, Янз бүрийн хэлбэртэй хувьсах хүчдлийн нэг утгыг  хэмжихэд электрон     вольтметрүүдийн заалт нь өөр өөр байдаг нь юунаас хамаарах вэ?,Сэргээн санах,1
,Осциллографийн Y суваг ямар параметрүүдээр тодорхойлогдох вэ,Сэргээн санах,1
,Хэмжих багажийн тодорхойломжийн зөвийг сонго ,Сэргээн санах,1
,Вольтметрийн аргаар эсэргүүцэл хэмжих тооцооны томъёог сонго. ,Сэргээн санах,1
,Хэмжилтийн механизмын хөдөлгөөнтэй хэсэгт тайван байдлын  момент ямар үүрэгтэй үйлчлэх вэ?   ,Сэргээн санах,1
, Амперметрийн шунтын эсэргүүцэл ямар үүрэгтэй вэ?    ,Сэргээн санах,1
,Вольтметрийн оролтын эсэргүүцэл хэмжих хэлхээний  ачааны  эсэргүүцлээс яагаад олон дахин их байх вэ?,Сэргээн санах,1
,В7-26 хэмжүүрт ямар детектор тавигдсан бэ?,Сэргээн санах,1
,Абсолют алдааг хэмжүүрийн нарийвчлалыг тодорхойлоход  хэрэглэх үү? ,Сэргээн санах,1
,"Синуслэг хэлбэртэй хүчдлийн m U , ДШ U , U хүчдлүүдийн зөв утгыг сонго.",Сэргээн санах,1
,Тоон фазометрийн тоологдох импульсийн тоог ихэсгэх боломжтой хувиргалтын тэгшитгэлийг сонго.,Сэргээн санах,1
,Хаалттай оролттой агууригийн детекторын оролтонд Uвх=Umsint+U0  хүчдэл өгөгдөхөд гаралтын хүчдлийг тодорхойл,Сэргээн санах,1
,Доорх схем бүхий фазометрийн гаралтын хүчдлийн хэлбэрийг тодорхойл ,Сэргээн санах,1
,Вольтметрээр хүчдэл хэмжихэд хэмжсэн хүчдэл нь бодит хэмжигдэхүүнтэй тэнцүү байх хамгийн оновчтой нөхцөлийг сонго.,Сэргээн санах,1
,Цагираг дэлгэлтийн үед осциллограммаас давтамжийг                            тодорхойл.,Сэргээн санах,1
,"Дохионы үеийг хэмжихэд fКВ=106 Гц, N=105, Tx=0.1c, үед fx хэд байх вэ?",Сэргээн санах,1
,Хэмжилтийн механизмын хөдөлгөөний шилжилтийн тэгшитгэлийн зөв утгыг сонго,Сэргээн санах,1
,Мостын тэнцвэрийн нөхцөлийг сонго.,Сэргээн санах,1
,Агуургын детекторын тодорхойлолтын зөв утгыг сонго.,Сэргээн санах,1
,Осциллографийн Y сувгийн хазайлтын коэффициентийн утгыг сонго,Сэргээн санах,1
,Доорх хүчдэл хуваагчийн хуваалтын коэффициентийг сонго,Сэргээн санах,1
,Тоон фазометрийн (нам давтамжийн хэлхээнд) зарчмыг томъёогоор илэрхийл.,Сэргээн санах,1
, Осциллографийн Y сувагт өгөдсөн дохио ямар үед      гарах вэ?,Сэргээн санах,1
,Вольтметрийн нэмэлт эсэргүүцэл ямар үүрэгтэй вэ?  ,Сэргээн санах,1
,Давтамжийн хувиргалттай АТХ-ын хувиргалтын тэгшитгэлийн зөв                  утгыг сонго.,Сэргээн санах,1
, Command window цонхноос Application программууыг дуудан ажиллуулж болно ,Сэргээн санах,1
, Command history цонхонд хадгалагдаж байгаа кодуудаар M-file үүсгэж болно,Сэргээн санах,1
, Mathworks нь симуляци хийх зориулалт бүхий программ,Сэргээн санах,1
,Өмнө байгуулсан график дээр нэмж график байгуулахадаа legend командыг ашиглана ,Сэргээн санах,1
,"MATLAB программ нь өндөр нарийвчлалтай аналоги, тоон болон тэдгээрийн холимог схемийг  загварчлах боломж олгодог  ",Сэргээн санах,1
